feature,coefficient,absolute_coefficient
Contract_Month-to-month,1.9554335895487511,1.9554335895487511
Contract_Two year,-1.8369384012725585,1.8369384012725585
Contract_One year,-0.27002588104002007,0.27002588104002007
Partner_Missing,-0.1301576182145258,0.1301576182145258
SeniorCitizen_Yes,-0.09615186451088117,0.09615186451088117
Dependents_No,-0.0907755209203131,0.0907755209203131
PaperlessBilling_No,-0.09036973652067032,0.09036973652067032
PhoneService_Yes,-0.08938211925251212,0.08938211925251212
gender_Male,-0.08296408131166362,0.08296408131166362
OnlineSecurity_Yes,-0.08195036504438287,0.08195036504438287
Dependents_Yes,-0.08064820466630011,0.08064820466630011
StreamingTV_No,-0.07755365636506671,0.07755365636506671
StreamingTV_Yes,-0.07681876603326503,0.07681876603326503
StreamingMovies_Yes,-0.07578844354653018,0.07578844354653018
gender_Female,-0.07242472110532919,0.07242472110532919
TechSupport_Missing,-0.07023263381309162,0.07023263381309162
MultipleLines_No,-0.06962070853842879,0.06962070853842879
MultipleLines_Yes,-0.06941572923540211,0.06941572923540211
InternetService_Fiber optic,-0.06650942319094642,0.06650942319094642
OnlineBackup_No,-0.06583608245355568,0.06583608245355568
TechSupport_Yes,-0.06548629114360632,0.06548629114360632
SeniorCitizen_No,-0.06351387011412836,0.06351387011412836
StreamingMovies_Missing,-0.06295110782903938,0.06295110782903938
PhoneService_No,-0.06214857351114385,0.06214857351114385
PaymentMethod_Credit card (automatic),-0.061950367420387634,0.061950367420387634
PaperlessBilling_Yes,-0.06116095624298896,0.06116095624298896
OnlineBackup_Missing,-0.054211291070892495,0.054211291070892495
PaymentMethod_Missing,-0.054144733478101226,0.054144733478101226
OnlineSecurity_No,-0.053215658449420444,0.053215658449420444
DeviceProtection_No,-0.05107925945046035,0.05107925945046035
DeviceProtection_Yes,-0.05057872504650344,0.05057872504650344
DeviceProtection_Missing,-0.049872708266691795,0.049872708266691795
InternetService_No,-0.04697516211123113,0.04697516211123113
InternetService_DSL,-0.038046107461479906,0.038046107461479906
OnlineBackup_Yes,-0.0314833192392072,0.0314833192392072
Partner_No,-0.02713441526179786,0.02713441526179786
Dependents_Missing,0.0198930328229574,0.0198930328229574
PaymentMethod_Bank transfer (automatic),-0.019236064260700934,0.019236064260700934
PaymentMethod_Mailed check,-0.01908986350610286,0.01908986350610286
missingindicator_TotalCharges,-0.01861835362340753,0.01861835362340753
OnlineSecurity_Missing,-0.01636466926985482,0.01636466926985482
TechSupport_No,-0.015811767806957585,0.015811767806957585
StreamingMovies_No,-0.012791141388090652,0.012791141388090652
MultipleLines_Missing,-0.012494254989823648,0.012494254989823648
missingindicator_tenure,0.012360000666485026,0.012360000666485026
missingindicator_MonthlyCharges,0.009171196706191627,0.009171196706191627
SeniorCitizen_Missing,0.008135041861356848,0.008135041861356848
tenure,-0.0064669539481348945,0.0064669539481348945
Partner_Yes,0.0057613407126660245,0.0057613407126660245
TotalCharges,0.005678005895308226,0.005678005895308226
gender_Missing,0.0038581096533356206,0.0038581096533356206
PaymentMethod_Electronic check,0.002890335901628396,0.002890335901628396
StreamingTV_Missing,0.0028417296346768387,0.0028417296346768387
MonthlyCharges,0.002511086126621524,0.002511086126621524
