threshold,precision,recall,f1,predicted_positive_rate
0.05,0.4731549442293244,0.9984146341463415,0.6420421126926243,0.9894778978669869
0.1,0.5744802867383513,0.9773170731707317,0.7236117381489842,0.797735460627895
0.15,0.5744802867383513,0.9773170731707317,0.7236117381489842,0.797735460627895
0.2,0.5790733086795736,0.9739024390243902,0.7262971215497249,0.7886429919368674
0.25,0.6967368620755074,0.8957317073170732,0.7838010884644114,0.602847829816435
0.3,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.35,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.4,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.45,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.5,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.55,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.6,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.65,0.6987515486514819,0.8941463414634147,0.7844647729096453,0.6000457482701436
0.7,0.697901956828727,0.843780487804878,0.7639394943137905,0.56693543775376
0.75,0.7019867549668874,0.025853658536585365,0.049870618677958126,0.017269971979184538
0.8,0.0,0.0,0.0,0.0
0.85,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0.0,0.0
